   rho:   eigenvalue
      0.0000000, 	     0.34999837,
    0.050000000, 	     0.53248477,
     0.10000000, 	     0.71939969,
     0.15000000, 	     0.90918335,
     0.20000000, 	      1.1013030,
     0.25000000, 	      1.2979282,
     0.30000000, 	      1.5074703,
     0.35000000, 	      1.7416219,
     0.40000000, 	      2.0071371,
     0.45000000, 	      2.3055572,
     0.50000000, 	      2.6366801,
     0.55000000, 	      3.0001004,
     0.60000000, 	      3.3955085,
     0.65000000, 	      3.8226954,
     0.70000000, 	      4.2815205,
     0.75000000, 	      4.7718868,
     0.80000000, 	      5.2937237,
     0.85000000, 	      5.8469778,
     0.90000000, 	      6.4316057,
     0.95000000, 	      7.0475705,
      1.0000000, 	      7.6948391,
      1.0500000, 	      8.3733805,
      1.1000000, 	      9.0831649,
      1.1500000, 	      9.8241627,
      1.2000000, 	      10.596344,
      1.2500000, 	      11.399679,
      1.3000000, 	      12.234136,
      1.3500000, 	      13.099684,
      1.4000000, 	      13.996289,
      1.4500000, 	      14.923917,
      1.5000000, 	      15.882533,
      1.5500000, 	      16.872102,
      1.6000000, 	      17.892584,
      1.6500000, 	      18.943941,
      1.7000000, 	      20.026133,
      1.7500000, 	      21.139118,
      1.8000000, 	      22.282854,
      1.8500000, 	      23.457297,
      1.9000000, 	      24.662401,
      1.9500000, 	      25.898121,
      2.0000000, 	      27.164407,
      2.0500000, 	      28.461212,
      2.1000000, 	      29.788484,
      2.1500000, 	      31.146173,
      2.2000000, 	      32.534225,
      2.2500000, 	      33.952587,
      2.3000000, 	      35.401203,
      2.3500000, 	      36.880017,
      2.4000000, 	      38.388972,
      2.4500000, 	      39.928007,
      2.5000000, 	      41.497063,
      2.5500000, 	      43.096080,
      2.6000000, 	      44.724993,
      2.6500000, 	      46.383739,
      2.7000000, 	      48.072254,
      2.7500000, 	      49.790471,
      2.8000000, 	      51.538323,
      2.8500000, 	      53.315741,
      2.9000000, 	      55.122655,
      2.9500000, 	      56.958995,
      3.0000000, 	      58.824688,
      3.0500000, 	      60.719662,
      3.1000000, 	      62.643841,
      3.1500000, 	      64.597150,
      3.2000000, 	      66.579512,
      3.2500000, 	      68.590849,
      3.3000000, 	      70.631083,
      3.3500000, 	      72.700132,
      3.4000000, 	      74.797916,
      3.4500000, 	      76.924352,
      3.5000000, 	      79.079356,
      3.5500000, 	      81.262844,
      3.6000000, 	      83.474728,
      3.6500000, 	      85.714924,
      3.7000000, 	      87.983341,
      3.7500000, 	      90.279891,
      3.8000000, 	      92.604483,
      3.8500000, 	      94.957026,
      3.9000000, 	      97.337427,
      3.9500000, 	      99.745592,
      4.0000000, 	      102.18143,
      4.0500000, 	      104.64483,
      4.1000000, 	      107.13572,
      4.1500000, 	      109.65398,
      4.2000000, 	      112.19952,
      4.2500000, 	      114.77224,
      4.3000000, 	      117.37204,
      4.3500000, 	      119.99881,
      4.4000000, 	      122.65245,
      4.4500000, 	      125.33286,
      4.5000000, 	      128.03992,
      4.5500000, 	      130.77355,
      4.6000000, 	      133.53361,
      4.6500000, 	      136.32002,
      4.7000000, 	      139.13265,
      4.7500000, 	      141.97140,
      4.8000000, 	      144.83616,
      4.8500000, 	      147.72680,
      4.9000000, 	      150.64322,
      4.9500000, 	      153.58531,
      5.0000000, 	      156.55294,
      5.0500000, 	      159.54600,
      5.1000000, 	      162.56437,
      5.1500000, 	      165.60794,
      5.2000000, 	      168.67657,
      5.2500000, 	      171.77016,
      5.3000000, 	      174.88857,
      5.3500000, 	      178.03170,
      5.4000000, 	      181.19940,
      5.4500000, 	      184.39156,
      5.5000000, 	      187.60805,
      5.5500000, 	      190.84875,
      5.6000000, 	      194.11352,
      5.6500000, 	      197.40224,
      5.7000000, 	      200.71477,
      5.7500000, 	      204.05100,
      5.8000000, 	      207.41077,
      5.8500000, 	      210.79398,
      5.9000000, 	      214.20047,
      5.9500000, 	      217.63011,
      6.0000000, 	      221.08277,
      6.0500000, 	      224.55832,
      6.1000000, 	      228.05662,
      6.1500000, 	      231.57752,
      6.2000000, 	      235.12089,
      6.2500000, 	      238.68659,
      6.3000000, 	      242.27447,
      6.3500000, 	      245.88441,
      6.4000000, 	      249.51625,
      6.4500000, 	      253.16985,
      6.5000000, 	      256.84507,
      6.5500000, 	      260.54175,
      6.6000000, 	      264.25977,
      6.6500000, 	      267.99896,
      6.7000000, 	      271.75919,
      6.7500000, 	      275.54030,
      6.8000000, 	      279.34214,
      6.8500000, 	      283.16456,
      6.9000000, 	      287.00742,
      6.9500000, 	      290.87056,
      7.0000000, 	      294.75383,
      7.0500000, 	      298.65708,
      7.1000000, 	      302.58014,
      7.1500000, 	      306.52288,
      7.2000000, 	      310.48512,
      7.2500000, 	      314.46672,
      7.3000000, 	      318.46752,
      7.3500000, 	      322.48735,
      7.4000000, 	      326.52607,
      7.4500000, 	      330.58351,
      7.5000000, 	      334.65951,
      7.5500000, 	      338.75391,
      7.6000000, 	      342.86655,
      7.6500000, 	      346.99726,
      7.7000000, 	      351.14589,
      7.7500000, 	      355.31227,
      7.8000000, 	      359.49624,
      7.8500000, 	      363.69762,
      7.9000000, 	      367.91626,
      7.9500000, 	      372.15199,
      8.0000000, 	      376.40464,
      8.0500000, 	      380.67404,
      8.1000000, 	      384.96002,
      8.1500000, 	      389.26242,
      8.2000000, 	      393.58106,
      8.2500000, 	      397.91578,
      8.3000000, 	      402.26641,
      8.3500000, 	      406.63276,
      8.4000000, 	      411.01468,
      8.4500000, 	      415.41198,
      8.5000000, 	      419.82449,
      8.5500000, 	      424.25204,
      8.6000000, 	      428.69446,
      8.6500000, 	      433.15156,
      8.7000000, 	      437.62318,
      8.7500000, 	      442.10914,
      8.8000000, 	      446.60925,
      8.8500000, 	      451.12335,
      8.9000000, 	      455.65124,
      8.9500000, 	      460.19277,
      9.0000000, 	      464.74774,
      9.0500000, 	      469.31597,
      9.1000000, 	      473.89729,
      9.1500000, 	      478.49151,
      9.2000000, 	      483.09846,
      9.2500000, 	      487.71794,
      9.3000000, 	      492.34979,
      9.3500000, 	      496.99381,
      9.4000000, 	      501.64983,
      9.4500000, 	      506.31765,
      9.5000000, 	      510.99710,
      9.5500000, 	      515.68798,
      9.6000000, 	      520.39013,
      9.6500000, 	      525.10334,
      9.7000000, 	      529.82743,
      9.7500000, 	      534.56222,
      9.8000000, 	      539.30752,
      9.8500000, 	      544.06314,
      9.9000000, 	      548.82890,
      9.9500000, 	      553.60460,
      10.000000, 	      558.39007,
      10.050000, 	      563.18510,
      10.100000, 	      567.98950,
      10.150000, 	      572.80310,
      10.200000, 	      577.62570,
      10.250000, 	      582.45711,
      10.300000, 	      587.29714,
      10.350000, 	      592.14560,
      10.400000, 	      597.00229,
      10.450000, 	      601.86702,
      10.500000, 	      606.73961,
      10.550000, 	      611.61986,
      10.600000, 	      616.50758,
      10.650000, 	      621.40257,
      10.700000, 	      626.30464,
      10.750000, 	      631.21360,
      10.800000, 	      636.12926,
      10.850000, 	      641.05141,
      10.900000, 	      645.97987,
      10.950000, 	      650.91445,
      11.000000, 	      655.85493,
      11.050000, 	      660.80114,
      11.100000, 	      665.75288,
      11.150000, 	      670.70995,
      11.200000, 	      675.67215,
      11.250000, 	      680.63929,
      11.300000, 	      685.61117,
      11.350000, 	      690.58760,
      11.400000, 	      695.56838,
      11.450000, 	      700.55331,
      11.500000, 	      705.54220,
      11.550000, 	      710.53485,
      11.600000, 	      715.53106,
      11.650000, 	      720.53064,
      11.700000, 	      725.53339,
      11.750000, 	      730.53910,
      11.800000, 	      735.54759,
      11.850000, 	      740.55866,
      11.900000, 	      745.57210,
      11.950000, 	      750.58772,
      12.000000, 	      755.60533,
      12.050000, 	      760.62471,
      12.100000, 	      765.64569,
      12.150000, 	      770.66804,
      12.200000, 	      775.69159,
      12.250000, 	      780.71613,
      12.300000, 	      785.74146,
      12.350000, 	      790.76738,
      12.400000, 	      795.79370,
      12.450000, 	      800.82022,
      12.500000, 	      805.84673,
      12.550000, 	      810.87305,
      12.600000, 	      815.89897,
      12.650000, 	      820.92428,
      12.700000, 	      825.94881,
      12.750000, 	      830.97234,
      12.800000, 	      835.99468,
      12.850000, 	      841.01563,
      12.900000, 	      846.03499,
      12.950000, 	      851.05256,
      13.000000, 	      856.06815,
      13.050000, 	      861.08155,
      13.100000, 	      866.09258,
      13.150000, 	      871.10103,
      13.200000, 	      876.10670,
      13.250000, 	      881.10939,
      13.300000, 	      886.10892,
      13.350000, 	      891.10508,
      13.400000, 	      896.09767,
      13.450000, 	      901.08649,
      13.500000, 	      906.07136,
      13.550000, 	      911.05207,
      13.600000, 	      916.02843,
      13.650000, 	      921.00024,
      13.700000, 	      925.96730,
      13.750000, 	      930.92942,
      13.800000, 	      935.88640,
      13.850000, 	      940.83805,
      13.900000, 	      945.78417,
      13.950000, 	      950.72456,
      14.000000, 	      955.65904,
      14.050000, 	      960.58740,
      14.100000, 	      965.50945,
      14.150000, 	      970.42500,
      14.200000, 	      975.33385,
      14.250000, 	      980.23580,
      14.300000, 	      985.13068,
      14.350000, 	      990.01827,
      14.400000, 	      994.89840,
      14.450000, 	      999.77086,
      14.500000, 	      1004.6355,
      14.550000, 	      1009.4920,
      14.600000, 	      1014.3403,
      14.650000, 	      1019.1802,
      14.700000, 	      1024.0115,
      14.750000, 	      1028.8339,
      14.800000, 	      1033.6474,
      14.850000, 	      1038.4516,
      14.900000, 	      1043.2465,
      14.950000, 	      1048.0318,
      15.000000, 	      1052.8074,
      15.050000, 	      1057.5729,
      15.100000, 	      1062.3284,
      15.150000, 	      1067.0735,
      15.200000, 	      1071.8081,
      15.250000, 	      1076.5320,
      15.300000, 	      1081.2451,
      15.350000, 	      1085.9470,
      15.400000, 	      1090.6377,
      15.450000, 	      1095.3170,
      15.500000, 	      1099.9846,
      15.550000, 	      1104.6404,
      15.600000, 	      1109.2842,
      15.650000, 	      1113.9158,
      15.700000, 	      1118.5351,
      15.750000, 	      1123.1418,
      15.800000, 	      1127.7358,
      15.850000, 	      1132.3169,
      15.900000, 	      1136.8849,
      15.950000, 	      1141.4397,
      16.000000, 	      1145.9810,
      16.050000, 	      1150.5086,
      16.100000, 	      1155.0225,
      16.150000, 	      1159.5223,
      16.200000, 	      1164.0080,
      16.250000, 	      1168.4794,
      16.300000, 	      1172.9362,
      16.350000, 	      1177.3784,
      16.400000, 	      1181.8057,
      16.450000, 	      1186.2179,
      16.500000, 	      1190.6149,
      16.550000, 	      1194.9965,
      16.600000, 	      1199.3626,
      16.650000, 	      1203.7129,
      16.700000, 	      1208.0474,
      16.750000, 	      1212.3657,
      16.800000, 	      1216.6678,
      16.850000, 	      1220.9535,
      16.900000, 	      1225.2226,
      16.950000, 	      1229.4749,
      17.000000, 	      1233.7103,
      17.050000, 	      1237.9286,
      17.100000, 	      1242.1297,
      17.150000, 	      1246.3133,
      17.200000, 	      1250.4793,
      17.250000, 	      1254.6276,
      17.300000, 	      1258.7580,
      17.350000, 	      1262.8703,
      17.400000, 	      1266.9643,
      17.450000, 	      1271.0400,
      17.500000, 	      1275.0970,
      17.550000, 	      1279.1354,
      17.600000, 	      1283.1548,
      17.650000, 	      1287.1552,
      17.700000, 	      1291.1365,
      17.750000, 	      1295.0983,
      17.800000, 	      1299.0406,
      17.850000, 	      1302.9633,
      17.900000, 	      1306.8661,
      17.950000, 	      1310.7490,
      18.000000, 	      1314.6117,
      18.050000, 	      1318.4542,
      18.100000, 	      1322.2762,
      18.150000, 	      1326.0776,
      18.200000, 	      1329.8582,
      18.250000, 	      1333.6180,
      18.300000, 	      1337.3568,
      18.350000, 	      1341.0743,
      18.400000, 	      1344.7705,
      18.450000, 	      1348.4453,
      18.500000, 	      1352.0984,
      18.550000, 	      1355.7298,
      18.600000, 	      1359.3392,
      18.650000, 	      1362.9266,
      18.700000, 	      1366.4918,
      18.750000, 	      1370.0347,
      18.800000, 	      1373.5551,
      18.850000, 	      1377.0528,
      18.900000, 	      1380.5278,
      18.950000, 	      1383.9800,
      19.000000, 	      1387.4091,
      19.050000, 	      1390.8150,
      19.100000, 	      1394.1977,
      19.150000, 	      1397.5569,
      19.200000, 	      1400.8926,
      19.250000, 	      1404.2045,
      19.300000, 	      1407.4927,
      19.350000, 	      1410.7568,
      19.400000, 	      1413.9969,
