rho:   eigenvalue
      0.0000000, 	      1.2499854,
    0.027500000, 	      2.1900499,
    0.055000000, 	      3.1503696,
    0.082500000, 	      4.1215499,
     0.11000000, 	      5.1009879,
     0.13750000, 	      6.0997238,
     0.16500000, 	      7.1619981,
     0.19250000, 	      8.3512012,
     0.22000000, 	      9.7041659,
     0.24750000, 	      11.228943,
     0.27500000, 	      12.924124,
     0.30250000, 	      14.787292,
     0.33000000, 	      16.816591,
     0.35750000, 	      19.010729,
     0.38500000, 	      21.368797,
     0.41250000, 	      23.890127,
     0.44000000, 	      26.574208,
     0.46750000, 	      29.420624,
     0.49500000, 	      32.429023,
     0.52250000, 	      35.599090,
     0.55000000, 	      38.930536,
     0.57750000, 	      42.423086,
     0.60500000, 	      46.076472,
     0.63250000, 	      49.890429,
     0.66000000, 	      53.864693,
     0.68750000, 	      57.998996,
     0.71500000, 	      62.293064,
     0.74250000, 	      66.746619,
     0.77000000, 	      71.359377,
     0.79750000, 	      76.131045,
     0.82500000, 	      81.061323,
     0.85250000, 	      86.149901,
     0.88000000, 	      91.396462,
     0.90750000, 	      96.800681,
     0.93500000, 	      102.36222,
     0.96250000, 	      108.08074,
     0.99000000, 	      113.95588,
      1.0175000, 	      119.98728,
      1.0450000, 	      126.17458,
      1.0725000, 	      132.51737,
      1.1000000, 	      139.01529,
      1.1275000, 	      145.66792,
      1.1550000, 	      152.47485,
      1.1825000, 	      159.43567,
      1.2100000, 	      166.54995,
      1.2375000, 	      173.81725,
      1.2650000, 	      181.23712,
      1.2925000, 	      188.80910,
      1.3200000, 	      196.53273,
      1.3475000, 	      204.40754,
      1.3750000, 	      212.43303,
      1.4025000, 	      220.60871,
      1.4300000, 	      228.93409,
      1.4575000, 	      237.40863,
      1.4850000, 	      246.03184,
      1.5125000, 	      254.80316,
      1.5400000, 	      263.72207,
      1.5675000, 	      272.78802,
      1.5950000, 	      282.00043,
      1.6225000, 	      291.35876,
      1.6500000, 	      300.86241,
      1.6775000, 	      310.51081,
      1.7050000, 	      320.30336,
      1.7325000, 	      330.23945,
      1.7600000, 	      340.31848,
      1.7875000, 	      350.53982,
      1.8150000, 	      360.90285,
      1.8425000, 	      371.40692,
      1.8700000, 	      382.05138,
      1.8975000, 	      392.83559,
      1.9250000, 	      403.75887,
      1.9525000, 	      414.82055,
      1.9800000, 	      426.01996,
      2.0075000, 	      437.35639,
      2.0350000, 	      448.82916,
      2.0625000, 	      460.43755,
      2.0900000, 	      472.18085,
      2.1175000, 	      484.05833,
      2.1450000, 	      496.06926,
      2.1725000, 	      508.21291,
      2.2000000, 	      520.48852,
      2.2275000, 	      532.89533,
      2.2550000, 	      545.43259,
      2.2825000, 	      558.09951,
      2.3100000, 	      570.89532,
      2.3375000, 	      583.81923,
      2.3650000, 	      596.87043,
      2.3925000, 	      610.04814,
      2.4200000, 	      623.35152,
      2.4475000, 	      636.77977,
      2.4750000, 	      650.33206,
      2.5025000, 	      664.00754,
      2.5300000, 	      677.80538,
      2.5575000, 	      691.72473,
      2.5850000, 	      705.76472,
      2.6125000, 	      719.92449,
      2.6400000, 	      734.20317,
      2.6675000, 	      748.59988,
      2.6950000, 	      763.11373,
      2.7225000, 	      777.74382,
      2.7500000, 	      792.48925,
      2.7775000, 	      807.34912,
      2.8050000, 	      822.32250,
      2.8325000, 	      837.40847,
      2.8600000, 	      852.60611,
      2.8875000, 	      867.91447,
      2.9150000, 	      883.33261,
      2.9425000, 	      898.85958,
      2.9700000, 	      914.49443,
      2.9975000, 	      930.23618,
      3.0250000, 	      946.08387,
      3.0525000, 	      962.03652,
      3.0800000, 	      978.09314,
      3.1075000, 	      994.25275,
      3.1350000, 	      1010.5143,
      3.1625000, 	      1026.8769,
      3.1900000, 	      1043.3395,
      3.2175000, 	      1059.9010,
      3.2450000, 	      1076.5605,
      3.2725000, 	      1093.3169,
      3.3000000, 	      1110.1691,
      3.3275000, 	      1127.1162,
      3.3550000, 	      1144.1571,
      3.3825000, 	      1161.2907,
      3.4100000, 	      1178.5160,
      3.4375000, 	      1195.8320,
      3.4650000, 	      1213.2375,
